Statistic,Quarter,Item,value
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2020Q3,General Government transactions - Expenditure - Capital transfers - ESA2010 Code (D9),318
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2020Q3,Net operating balance - ESA2010 Code  (NOB),-5454
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2020Q3,Net acquisition of non-financial assets - ESA2010 Code (P5 + NP - P51c),1274
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2020Q3,General Government Surplus/Deficit - ESA2010 Code (B9),-6727
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2020Q3,Net acquisition of financial assets,-2407
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2020Q3,Net acquisition of financial assets - Debt instruments - ESA2010 Code (F2 + F3 + F4),-3281
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2020Q3,Net acquisition of financial assets - Equity and Investment Fund Shares - ESA2010 Code (F5),-135
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2020Q3,Net acquisition of financial assets - Other financial assets - ESA2010 Code (F6 + F7 + F8),1009
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2020Q3,Net incurrence of liabilities,2794
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2020Q3,Net incurrence of liabilities - Debt instruments - ESA2010 Code (F2 + F3 + F4),2533
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2020Q3,Net incurrence of liabilities - Other liabilities - ESA2010 Code (F5 + F6 + F7 + F8),261
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2020Q3,Memo: Net derivative flows on debt interest swap contracts,-17
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2020Q3,General Government transactions - Seasonally Adjusted Revenue - ESA2010 Code (TR),20984
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2020Q3,General Government transactions - Seasonally Adjusted Expenditure - ESA2010 Code (TE),26327
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2020Q3,General Government Seasonally Adjusted Surplus/Deficit - ESA2010 Code (B9),-5343
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2020Q4,General Government transactions - Revenue - ESA2010 Code (TR),25562
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2020Q4,General Government transactions - Revenue - Taxes and social contributions - ESA2010 Code ( D2 + D5 + D91 + D61),24073
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2020Q4,General Government transactions - Revenue - Taxes - ESA2010 Code (D2 + D5 + D91),19712
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2020Q4,General Government transactions - Revenue - Social contributions - ESA2010 Code (D61),4361
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2020Q4,General Government transactions - Revenue - Sales of goods and services - ESA2010 Code (P10),1030
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2020Q4,General Government transactions - Revenue - Investment income - ESA2010 Code (D4),65
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2020Q4,General Government transactions - Revenue - Current transfer revenue (excluding taxes) - ESA2010 Code (D7),180
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2020Q4,General Government transactions - Revenue - Capital transfer revenue (excluding taxes) - ESA2010 Code (D9N),213
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2020Q4,General Government transactions - Expenditure - ESA2010 Code (TE),27492
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2020Q4,General Government transactions - Expenditure - Expense - ESA2010 Code (Expense),26699
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2020Q4,General Government transactions - Expenditure - Compensation of employees - ESA2010 Code (D1),6575
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2020Q4,General Government transactions - Expenditure - Use of goods and services plus taxes payable - ESA2010 Code (P2 + D5 + D29),4092
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2020Q4,General Government transactions - Expenditure - Depreciation (consumption of fixed capital) - ESA2010 Code (P51c),1256
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2020Q4,General Government transactions - Expenditure - Interest (excluding FISIM) - ESA2010 Code (D41),870
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2020Q4,General Government transactions - Expenditure - Subsidies - ESA2010 Code (D3),1740
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2020Q4,General Government transactions - Expenditure - Social benefits - ESA2010 Code (D62 + D632),10114
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2020Q4,General Government transactions - Expenditure - Other current transfers - ESA2010 Code (D7),1476
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2020Q4,General Government transactions - Expenditure - Capital transfers - ESA2010 Code (D9),577
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2020Q4,Net operating balance - ESA2010 Code  (NOB),-1137
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2020Q4,Net acquisition of non-financial assets - ESA2010 Code (P5 + NP - P51c),793
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2020Q4,General Government Surplus/Deficit - ESA2010 Code (B9),-1930
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2020Q4,Net acquisition of financial assets,-10592
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2020Q4,Net acquisition of financial assets - Debt instruments - ESA2010 Code (F2 + F3 + F4),-12270
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2020Q4,Net acquisition of financial assets - Equity and Investment Fund Shares - ESA2010 Code (F5),25
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2020Q4,Net acquisition of financial assets - Other financial assets - ESA2010 Code (F6 + F7 + F8),1653
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2020Q4,Net incurrence of liabilities,-8992
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2020Q4,Net incurrence of liabilities - Debt instruments - ESA2010 Code (F2 + F3 + F4),-9269
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2020Q4,Net incurrence of liabilities - Other liabilities - ESA2010 Code (F5 + F6 + F7 + F8),277
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2020Q4,Memo: Net derivative flows on debt interest swap contracts,-17
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2020Q4,General Government transactions - Seasonally Adjusted Revenue - ESA2010 Code (TR),20976
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2020Q4,General Government transactions - Seasonally Adjusted Expenditure - ESA2010 Code (TE),26232
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2020Q4,General Government Seasonally Adjusted Surplus/Deficit - ESA2010 Code (B9),-5257
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2021Q1,General Government transactions - Revenue - ESA2010 Code (TR),19361
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2021Q1,General Government transactions - Revenue - Taxes and social contributions - ESA2010 Code ( D2 + D5 + D91 + D61),18066
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2021Q1,General Government transactions - Revenue - Taxes - ESA2010 Code (D2 + D5 + D91),14167
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2021Q1,General Government transactions - Revenue - Social contributions - ESA2010 Code (D61),3900
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2021Q1,General Government transactions - Revenue - Sales of goods and services - ESA2010 Code (P10),926
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2021Q1,General Government transactions - Revenue - Investment income - ESA2010 Code (D4),42
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2021Q1,General Government transactions - Revenue - Current transfer revenue (excluding taxes) - ESA2010 Code (D7),197
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2021Q1,General Government transactions - Revenue - Capital transfer revenue (excluding taxes) - ESA2010 Code (D9N),130
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2021Q1,General Government transactions - Expenditure - ESA2010 Code (TE),25584
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2021Q1,General Government transactions - Expenditure - Expense - ESA2010 Code (Expense),25313
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2021Q1,General Government transactions - Expenditure - Compensation of employees - ESA2010 Code (D1),6258
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2021Q1,General Government transactions - Expenditure - Use of goods and services plus taxes payable - ESA2010 Code (P2 + D5 + D29),3921
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2021Q1,General Government transactions - Expenditure - Depreciation (consumption of fixed capital) - ESA2010 Code (P51c),1411
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2021Q1,General Government transactions - Expenditure - Interest (excluding FISIM) - ESA2010 Code (D41),826
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2021Q1,General Government transactions - Expenditure - Subsidies - ESA2010 Code (D3),1755
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2021Q1,General Government transactions - Expenditure - Social benefits - ESA2010 Code (D62 + D632),9364
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2021Q1,General Government transactions - Expenditure - Other current transfers - ESA2010 Code (D7),1379
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2021Q1,General Government transactions - Expenditure - Capital transfers - ESA2010 Code (D9),399
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2021Q1,Net operating balance - ESA2010 Code  (NOB),-5952
